claim_text,Ineligibility
" A communication network for the transmission of data within and between one or more remote data processing subsystems, at least one intermediate data collecting subsystem and at least one central subsystem forming a tiered architecture wherein each of said at least one central data processing subsystem communicate with a corresponding some of said at least one data collecting subsystem and each of said at least one data collecting subsystem communicate with a corresponding some of said one or more data processing subsystems, said data processing subsystem including an imaging subsystem for capturing images of documents and receipts, comprising: at least one first local area network for transmitting data within a corresponding one of said one or more remote subsystems; at least one second local area network for transmitting data within a corresponding one of said at least one intermediate subsystem; at least one third local area network for transmitting data within a corresponding one of said at least one central subsystem; and at least one wide area network for transmitting data between said one or more remote subsystems, said at least one intermediate subsystem and said at least one central subsystem.",1
" A computer implemented method for combining payment of adjudicated health care benefits with an associated explanation of benefits, the method comprising: receiving an explanation of benefits related to medical services provided by a health care provider receiving authorization to pay at least a portion of submitted charges associated with the explanation of benefits and the associated funds for payment; funding a unique, single-use stored-value card account with an amount equal to the adjudicated benefit payment by one or more computers; merging the explanation of benefits with the stored-value card account number, the adjudicated benefit amount of payment, a card verification value code, and an expiration date in an electronic file by said one or more computers; and electronically sending the merged file to the health care provider as payment for the services by said one or more computers.",1
" A computer implemented method for combining payment of health care benefits with an associated explanation of benefits, the method comprising: receiving an explanation of benefits related to medical services provided by a health care provider; receiving authorization to pay at least a portion of submitted charges associated with the explanation of benefits and the associated funds for payment; allocating funds within an account designated by a payer to a unique, stored-value card account in an amount equal to the adjudicated benefit payment by one or more computers, the stored-value card account being chargeable only up to the authorized amount; and merging the explanation of benefits with the stored-value card account number, the adjudicated benefit amount of payment, a card verification value code, and an expiration date in a file.",1
" A computer implemented process for reviewing an e-mail message, comprising: receiving the e-mail message at a first post office, the e-mail message having at least one specified recipient; deferring the e-mail message by: automatically combining the selected e-mail message with a new distribution list specifying at least one second post office for receiving the e-mail message for review by an administrator associated with the second post office and a rule history specifying at least one business rule determined to be applicable to the e-mail message; and automatically delivering the selected e-mail message to an administrator at the second post office on the distribution list instead of a specified recipient of the e-mail message; persistently storing the e-mail message at the second post office until the e-mail message is reviewed; automatically reviewing the e-mail message after a specified time interval to determine an action to be applied to the e-mail message; and automatically applying the action to the e-mail message.",1
" A computer readable medium encoded with one or more computer programs for enabling acquisition of a set of content data and display of an image or images generated from the set of content data on a display device during operation of an attention manager, comprising: acquisition instructions for enabling acquisition of a set of content data from a specified information source; user interface installation instructions for enabling provision of a user interface that allows a person to request the set of content data from the specified information source; content data scheduling instructions for providing temporal constraints on the display of the image or images generated from the set of content data, wherein the content data scheduling instructions further comprise sequencing instructions that specify an order in which the images generated from a set of content data are displayed; and display instructions for enabling display of the image or images generated from the set of content data.",1
" A computer readable medium encoded with one or more computer programs for enabling acquisition of a set of content data and display of an image or images generated from the set of content data on a display device during operation of an attention manager, comprising: acquisition instructions for enabling acquisition of a set of content data from a specified information source; user interface installation instructions for enabling provision of a user interface that allows a person to request the set of content data from the specified information source; content data scheduling instructions for providing temporal constraints on the display of the image or images generated from the set of content data, wherein the content data scheduling instructions further comprise saturation instructions that constrain the number of times that the image or images generated from a set of content data can be displayed; and display instructions for enabling display of the image or images generated from the set of content data.",1
" A computer readable medium, for use by a content display system, encoded with one or more computer programs for enabling acquisition of a set of content data and display of an image or images generated from the set of content data on a display device during operation of an attention manager, comprising: acquisition instructions for enabling acquisition of a set of content data from a specified information source; user interface installation instructions for enabling provision of a user interface that allows a person to request the set of content data from the specified information source; content data scheduling instructions for providing temporal constraints on the display of the image or images generated from the set of content data; display instructions for enabling display of the image or images generated from the set of content data; content data update instructions for enabling acquisition of an updated set of content data from an information source that corresponds to a previously acquired set of content data; operating instructions for beginning, managing and terminating the display on the display device of an image generated from a set of content data; content display system scheduling instructions for scheduling the display of the image or images on the display device; installation instructions for installing the operating instructions and content display system scheduling instructions on the content display system; and audit instructions for monitoring usage of the content display system to selectively display an image or images generated from a set of content data.",1
" A content delivery method, comprising: distributing a set of page objects across a network of content servers managed by a domain other than a content provider domain, wherein the network of content servers are organized into a set of regions; for a given page normally served from the content provider domain, tagging at least some of the embedded objects of the page so that requests for the objects resolve to the domain instead of the content provider domain; in response to a client request for an embedded object of the page: resolving the client request as a function of a location of the client machine making the request and current Internet traffic conditions to identify a given region; and returning to the client an IP address of a given one of the content servers within the given region that is likely to host the embedded object and that is not overloaded.",1
" A content delivery service, comprising: replicating a set of page objects across a wide area network of content servers managed by a domain other than a content provider domain; for a given page normally served from the content provider domain, tagging the embedded objects of the page so that requests for the page objects resolve to the domain instead of the content provider domain; responsive to a request for the given page received at the content provider domain, serving the given page from the content provider domain; and serving at least one embedded object of the given page from a given content server in the domain instead of from the content provider domain.",1
" A data transaction processing system, comprising: a transaction entry device comprising a microprocessor and a computer readable medium which stores a form driven operating system which controls said microprocessor to accept input data of a desired transaction type using control data comprising at least one form presented to a user by said form driven operating system for eliciting data input of said desired transaction type from said user, said at least one form including at least one prompt customized to said desired transaction type, said form driven operating system further formatting at least any data input by said user in response to said at least one prompt into a data transaction for processing, and which stores a form/menu memory which stores said at least one form; a transmission medium; and a server connected to said transaction entry device via said transmission medium, said server processing data transactions from said transaction entry device which include a form customized to a transaction type supported by said server, said processing performed by said server including at least one of  communicating said data transactions to another server for processing, and  processing said data transactions and returning at least one of additional forms, responses to prompts in said form customized to said transaction type supported by said server, and processed data to said transaction entry device as data transactions.",0
" A distributed learning server for controlling a presenter computer system and an audience member computer system coupled to the distributed learning server via a network, the distributed learning server comprising: a module for providing a first graphical display on the presenter computer system, the first graphical display comprising: a first presenter content selection control for selecting a first source of streaming content representative of graphical information; a first presenter content display region for displaying the graphical information represented by the streaming content from the first selected source; a second presenter content selection control for selecting a second source of streaming content representative of graphical information; and a second presenter content display region for displaying the graphical information represented by the streaming content from the second selected source, wherein the first and second presenter content display regions are adapted to display simultaneously; and a classroom region for representing the audience member computer system coupled to the distributed learning server; and a module for providing a second graphical display on the audience member computer system, the second graphical display comprising: a first audience member content display region for displaying the graphical information represented by the streaming content from the first source selected by the content selection control; and a second audience member content display region for displaying the graphical information represented by the streaming content from the second source selected by the content selection control, wherein the first and second audience member content display regions are adapted to display simultaneously.",1
" A lottery type game comprising: a gaming piece, said gaming piece including a code which includes data indicating whether a player wins or loses the lottery game and an amusement game, said data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; a processor for receiving said code input by the player prior to amusement game play; said processor generating the amusement game on a display for play by the player, said processor determining whether the player will win or lose the amusement game based upon said code; and a display for providing an indication to the player of the amusement game win or loss based upon said code.",1
" A lottery type game comprising: a gaming piece, said gaming piece including a predetermined code which includes data indicating whether a player wins or loses; and a processor for reading said code, the player winning or losing the lottery type game based upon said code and occurrence of an event external to operation of the lottery type game, such that the player does not know whether the player will win or lose the lottery type game until after the occurrence of the event.",1
" A lottery type game comprising: a gaming piece, said gaming piece including a programmable memory for storing a code which includes data indicating whether a player wins or loses the lottery type game and an amusement game, said data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; a processor for reading said code from said memory prior to amusement game play; said processor generating the amusement game on a display for play by the player; said processor determining whether the player will win or lose the amusement game based upon said code; and said display providing an indication to the player of the amusement game win or loss based upon said code.",1
